ID,MSG
16,308
1,313
87,330
91,303
28,308
58,335
11,343
96,313
50,317
75,320
36,322
99,316
48,309
64,339
59,315
21,320
45,338
97,332
67,325
56,331
44,320
49,330
20,326
23,327
70,327
46,320
43,320
65,310
78,301
33,332
92,333
73,325
15,329
63,341
6,425
38,336
76,320
2,313
35,327
34,337
25,321
9,430
79,306
30,316
54,330
77,317
14,318
3,322
95,316
71,326
93,330
55,325
42,324
61,331
81,334
22,337
19,314
89,330
68,322
5,424
80,307
17,308
90,321
94,329
7,428
41,318
72,308
13,316
83,321
24,338
26,314
53,333
51,312
86,323
82,338
60,331
66,320
29,344
88,319
37,314
98,313
57,336
84,334
12,329
40,330
27,318
85,305
62,330
39,321
0,315
4,423
52,321
32,323
47,334
74,326
8,431
18,322
69,311
10,318
31,337
